Vivado Simulator 2017.1
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb.uut.inst_rom_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_6 collision detected at time: 238545000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 245485000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 245495000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 252435000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 252445000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 259385000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 259395000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 266335000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 266345000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 273285000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 273295000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 280235000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 280245000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 287185000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 287195000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 294135000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 294145000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 301085000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 301095000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 308035000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 308045000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 314985000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 314995000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 321935000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 321945000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 328885000, A write address: 0, B  read address: 0
